"Run ID","Assay Name","Test Name","Test Date","Qubit® tube conc.","Units","Original sample conc.","Units","Sample Volume (µL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140615","2023/05/03 14:06:15","0.0158","µg/mL","3.16","ng/µL","1","200","147.07","11753.44",,"Blue","Green","194.86",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140557","2023/05/03 14:05:57","0.372","µg/mL","74.4","ng/µL","1","200","147.07","11753.44",,"Blue","Green","1248.73",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140541","2023/05/03 14:05:41","Out of range","µg/mL","Out of range","ng/µL","1","200","147.07","11753.44",,"Blue","Green","160.64",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140529","2023/05/03 14:05:29","0.195","µg/mL","39.0","ng/µL","1","200","147.07","11753.44",,"Blue","Green","729.17",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140516","2023/05/03 14:05:16","1.98","µg/mL","396","ng/µL","1","200","147.07","11753.44",,"Blue","Green","5498.13",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140505","2023/05/03 14:05:05","0.290","µg/mL","58.0","ng/µL","1","200","147.07","11753.44",,"Blue","Green","1010.32",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140456","2023/05/03 14:04:56","1.83","µg/mL","366","ng/µL","1","200","147.07","11753.44",,"Blue","Green","5120.93",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140441","2023/05/03 14:04:41","0.946","µg/mL","189","ng/µL","1","200","147.07","11753.44",,"Blue","Green","2854.54",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140415","2023/05/03 14:04:15","Out of range","µg/mL","Out of range","ng/µL","1","200","147.07","11753.44",,"Blue","Green","156.98",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140359","2023/05/03 14:03:59","0.192","µg/mL","38.4","ng/µL","1","200","147.07","11753.44",,"Blue","Green","721.79",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140348","2023/05/03 14:03:48","0.375","µg/mL","75.0","ng/µL","1","200","147.07","11753.44",,"Blue","Green","1255.11",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140337","2023/05/03 14:03:37","1.98","µg/mL","396","ng/µL","1","200","147.07","11753.44",,"Blue","Green","5499.83",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140326","2023/05/03 14:03:26","0.293","µg/mL","58.6","ng/µL","1","200","147.07","11753.44",,"Blue","Green","1016.87",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140314","2023/05/03 14:03:14","1.83","µg/mL","366","ng/µL","1","200","147.07","11753.44",,"Blue","Green","5125.11",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140302","2023/05/03 14:03:02","0.960","µg/mL","192","ng/µL","1","200","147.07","11753.44",,"Blue","Green","2891.49",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140250","2023/05/03 14:02:50","0.0159","µg/mL","3.18","ng/µL","1","200","147.07","11753.44",,"Blue","Green","195.13",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140236","2023/05/03 14:02:36","Out of range","µg/mL","Out of range","ng/µL","1","200","147.07","11753.44",,"Blue","Green","160.23",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140224","2023/05/03 14:02:24","1.85","µg/mL","370","ng/µL","1","200","147.07","11753.44",,"Blue","Green","5170.08",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140210","2023/05/03 14:02:10","0.0164","µg/mL","3.28","ng/µL","1","200","147.07","11753.44",,"Blue","Green","196.74",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140157","2023/05/03 14:01:57","0.985","µg/mL","197","ng/µL","1","200","147.07","11753.44",,"Blue","Green","2957.87",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140143","2023/05/03 14:01:43","1.89","µg/mL","378","ng/µL","1","200","147.07","11753.44",,"Blue","Green","5280.43",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140131","2023/05/03 14:01:31","0.295","µg/mL","59.0","ng/µL","1","200","147.07","11753.44",,"Blue","Green","1023.77",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140116","2023/05/03 14:01:16","1.98","µg/mL","396","ng/µL","1","200","147.07","11753.44",,"Blue","Green","5501.16",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140059","2023/05/03 14:00:59","0.364","µg/mL","72.8","ng/µL","1","200","147.07","11753.44",,"Blue","Green","1225.21",
"2023-05-03_140008","dsDNA Broad range","Sample_#230503-140047","2023/05/03 14:00:47","0.195","µg/mL","39.0","ng/µL","1","200","147.07","11753.44",,"Blue","Green","731.44",
