
8/31/2023 1:07:32 PM
Wavelength (nm)	10mm Absorbance
220	-0.021
221	-0.013
222	-0.015
223	-0.016
224	-0.018
225	-0.017
226	-0.020
227	-0.019
228	-0.016
229	-0.016
230	-0.015
231	-0.017
232	-0.015
233	-0.013
234	-0.010
235	-0.011
236	-0.011
237	-0.014
238	-0.011
239	-0.012
240	-0.013
241	-0.013
242	-0.013
243	-0.014
244	-0.016
245	-0.018
246	-0.019
247	-0.017
248	-0.017
249	-0.019
250	-0.016
251	-0.014
252	-0.011
253	-0.006
254	-0.005
255	-0.005
256	-0.005
257	-0.003
258	-0.004
259	-0.006
260	-0.004
261	-0.006
262	-0.006
263	-0.006
264	-0.007
265	-0.009
266	-0.011
267	-0.010
268	-0.011
269	-0.009
270	-0.008
271	-0.008
272	-0.006
273	-0.004
274	-0.005
275	-0.008
276	-0.006
277	-0.006
278	-0.004
279	-0.007
280	-0.008
281	-0.007
282	-0.007
283	-0.007
284	-0.009
285	-0.009
286	-0.009
287	-0.004
288	-0.004
289	-0.003
290	-0.003
291	-0.002
292	-0.002
293	-0.003
294	-0.005
295	-0.008
296	-0.008
297	-0.009
298	-0.007
299	-0.006
300	-0.004
301	-0.005
302	-0.006
303	-0.006
304	-0.005
305	-0.004
306	-0.009
307	-0.006
308	-0.004
309	-0.006
310	-0.004
311	-0.006
312	-0.005
313	-0.004
314	0.000
315	-0.004
316	-0.004
317	0.002
318	0.006
319	0.011
320	0.012
321	0.008
322	0.010
323	0.007
324	0.006
325	0.003
326	0.001
327	-0.001
328	-0.003
329	0.000
330	-0.002
331	0.004
332	0.005
333	0.005
334	0.004
335	-0.001
336	-0.003
337	-0.003
338	-0.005
339	-0.004
340	0.000
341	-0.002
342	-0.001
343	0.004
344	0.004
345	0.006
346	0.008
347	0.005
348	0.003
349	0.005
350	0.007


4LA2a
8/31/2023 1:42:30 PM
Wavelength (nm)	10mm Absorbance
220	5.985
221	5.641
222	5.321
223	5.044
224	4.800
225	4.577
226	4.397
227	4.300
228	4.245
229	4.205
230	4.188
231	4.178
232	4.181
233	4.204
234	4.268
235	4.376
236	4.517
237	4.698
238	4.925
239	5.233
240	5.520
241	5.754
242	5.981
243	6.259
244	6.594
245	6.865
246	7.109
247	7.376
248	7.650
249	7.889
250	8.091
251	8.286
252	8.528
253	8.762
254	8.971
255	9.116
256	9.240
257	9.349
258	9.374
259	9.376
260	9.356
261	9.311
262	9.236
263	9.123
264	8.967
265	8.740
266	8.526
267	8.330
268	8.109
269	7.888
270	7.678
271	7.466
272	7.242
273	7.002
274	6.760
275	6.511
276	6.231
277	5.937
278	5.642
279	5.340
280	5.051
281	4.763
282	4.458
283	4.151
284	3.853
285	3.569
286	3.283
287	2.976
288	2.682
289	2.412
290	2.149
291	1.880
292	1.630
293	1.416
294	1.211
295	1.025
296	0.870
297	0.746
298	0.646
299	0.551
300	0.469
301	0.397
302	0.335
303	0.283
304	0.248
305	0.220
306	0.195
307	0.179
308	0.170
309	0.160
310	0.154
311	0.146
312	0.140
313	0.135
314	0.131
315	0.124
316	0.119
317	0.115
318	0.107
319	0.103
320	0.093
321	0.077
322	0.069
323	0.062
324	0.056
325	0.054
326	0.049
327	0.044
328	0.038
329	0.034
330	0.028
331	0.021
332	0.018
333	0.011
334	0.008
335	0.001
336	0.000
337	-0.002
338	-0.005
339	-0.001
340	0.000
341	0.002
342	0.001
343	0.002
344	0.004
345	0.002
346	0.001
347	-0.002
348	-0.005
349	-0.009
350	-0.006


3MA2a
8/31/2023 1:44:46 PM
Wavelength (nm)	10mm Absorbance
220	3.582
221	3.378
222	3.192
223	3.024
224	2.874
225	2.731
226	2.626
227	2.561
228	2.524
229	2.497
230	2.483
231	2.476
232	2.478
233	2.491
234	2.516
235	2.576
236	2.656
237	2.755
238	2.884
239	3.049
240	3.206
241	3.335
242	3.462
243	3.619
244	3.800
245	3.956
246	4.094
247	4.243
248	4.397
249	4.533
250	4.648
251	4.762
252	4.918
253	5.057
254	5.175
255	5.261
256	5.325
257	5.374
258	5.385
259	5.377
260	5.361
261	5.330
262	5.288
263	5.228
264	5.137
265	5.009
266	4.889
267	4.777
268	4.644
269	4.514
270	4.392
271	4.268
272	4.141
273	4.002
274	3.859
275	3.718
276	3.560
277	3.393
278	3.225
279	3.053
280	2.891
281	2.730
282	2.562
283	2.396
284	2.232
285	2.073
286	1.912
287	1.740
288	1.575
289	1.427
290	1.279
291	1.124
292	0.980
293	0.858
294	0.740
295	0.633
296	0.545
297	0.471
298	0.412
299	0.361
300	0.315
301	0.273
302	0.239
303	0.210
304	0.188
305	0.172
306	0.159
307	0.151
308	0.149
309	0.146
310	0.142
311	0.136
312	0.132
313	0.128
314	0.126
315	0.117
316	0.109
317	0.103
318	0.096
319	0.091
320	0.080
321	0.065
322	0.056
323	0.053
324	0.049
325	0.043
326	0.037
327	0.032
328	0.029
329	0.027
330	0.021
331	0.014
332	0.009
333	0.008
334	0.003
335	-0.001
336	-0.003
337	-0.005
338	-0.006
339	-0.004
340	0.000
341	-0.002
342	0.000
343	0.004
344	0.006
345	0.007
346	0.003
347	0.001
348	-0.002
349	-0.004
350	0.000


3HA2a
8/31/2023 1:46:40 PM
Wavelength (nm)	10mm Absorbance
220	6.161
221	5.819
222	5.514
223	5.236
224	4.999
225	4.780
226	4.600
227	4.498
228	4.440
229	4.399
230	4.377
231	4.365
232	4.364
233	4.384
234	4.439
235	4.537
236	4.666
237	4.834
238	5.046
239	5.323
240	5.581
241	5.794
242	6.005
243	6.263
244	6.566
245	6.818
246	7.043
247	7.291
248	7.545
249	7.767
250	7.951
251	8.129
252	8.361
253	8.584
254	8.761
255	8.890
256	9.006
257	9.092
258	9.114
259	9.106
260	9.084
261	9.034
262	8.961
263	8.862
264	8.703
265	8.483
266	8.271
267	8.072
268	7.849
269	7.635
270	7.432
271	7.225
272	7.008
273	6.777
274	6.543
275	6.312
276	6.044
277	5.761
278	5.478
279	5.182
280	4.905
281	4.625
282	4.334
283	4.039
284	3.755
285	3.486
286	3.215
287	2.920
288	2.640
289	2.387
290	2.136
291	1.881
292	1.641
293	1.437
294	1.243
295	1.065
296	0.916
297	0.796
298	0.699
299	0.610
300	0.532
301	0.462
302	0.398
303	0.346
304	0.310
305	0.279
306	0.257
307	0.240
308	0.226
309	0.215
310	0.207
311	0.197
312	0.190
313	0.184
314	0.175
315	0.163
316	0.152
317	0.146
318	0.140
319	0.135
320	0.124
321	0.110
322	0.102
323	0.095
324	0.086
325	0.075
326	0.067
327	0.056
328	0.048
329	0.039
330	0.032
331	0.027
332	0.022
333	0.020
334	0.014
335	0.007
336	0.007
337	0.004
338	-0.002
339	-0.001
340	0.000
341	-0.005
342	-0.003
343	-0.006
344	-0.006
345	-0.006
346	-0.009
347	-0.015
348	-0.019
349	-0.020
350	-0.024


mock
8/31/2023 1:48:14 PM
Wavelength (nm)	10mm Absorbance
220	0.366
221	0.376
222	0.367
223	0.369
224	0.361
225	0.353
226	0.343
227	0.340
228	0.338
229	0.333
230	0.331
231	0.323
232	0.321
233	0.316
234	0.310
235	0.297
236	0.286
237	0.271
238	0.262
239	0.246
240	0.233
241	0.225
242	0.218
243	0.212
244	0.205
245	0.198
246	0.194
247	0.193
248	0.187
249	0.183
250	0.180
251	0.177
252	0.174
253	0.173
254	0.167
255	0.163
256	0.158
257	0.151
258	0.145
259	0.143
260	0.140
261	0.137
262	0.135
263	0.133
264	0.131
265	0.128
266	0.127
267	0.126
268	0.126
269	0.125
270	0.123
271	0.124
272	0.122
273	0.122
274	0.122
275	0.120
276	0.121
277	0.124
278	0.123
279	0.118
280	0.117
281	0.116
282	0.116
283	0.115
284	0.112
285	0.111
286	0.115
287	0.120
288	0.120
289	0.122
290	0.121
291	0.123
292	0.125
293	0.125
294	0.121
295	0.120
296	0.121
297	0.120
298	0.123
299	0.127
300	0.126
301	0.126
302	0.130
303	0.130
304	0.132
305	0.130
306	0.127
307	0.126
308	0.124
309	0.123
310	0.119
311	0.117
312	0.115
313	0.114
314	0.111
315	0.105
316	0.099
317	0.094
318	0.091
319	0.087
320	0.079
321	0.067
322	0.060
323	0.052
324	0.050
325	0.047
326	0.044
327	0.038
328	0.032
329	0.031
330	0.025
331	0.027
332	0.022
333	0.017
334	0.010
335	0.004
336	0.001
337	-0.001
338	-0.002
339	-0.003
340	0.000
341	-0.001
342	0.001
343	0.000
344	0.000
345	-0.001
346	-0.006
347	-0.012
348	-0.015
349	-0.020
350	-0.020


blank
8/31/2023 1:50:03 PM
Wavelength (nm)	10mm Absorbance
220	0.319
221	0.316
222	0.308
223	0.303
224	0.290
225	0.283
226	0.272
227	0.271
228	0.268
229	0.263
230	0.262
231	0.260
232	0.258
233	0.255
234	0.252
235	0.245
236	0.244
237	0.238
238	0.232
239	0.225
240	0.219
241	0.216
242	0.217
243	0.215
244	0.213
245	0.214
246	0.216
247	0.220
248	0.221
249	0.223
250	0.224
251	0.226
252	0.229
253	0.234
254	0.231
255	0.231
256	0.236
257	0.233
258	0.232
259	0.230
260	0.229
261	0.225
262	0.222
263	0.218
264	0.210
265	0.204
266	0.195
267	0.191
268	0.187
269	0.184
270	0.181
271	0.177
272	0.175
273	0.172
274	0.170
275	0.166
276	0.163
277	0.162
278	0.161
279	0.154
280	0.149
281	0.146
282	0.139
283	0.133
284	0.125
285	0.117
286	0.115
287	0.111
288	0.106
289	0.103
290	0.100
291	0.098
292	0.096
293	0.095
294	0.090
295	0.086
296	0.086
297	0.083
298	0.086
299	0.089
300	0.088
301	0.087
302	0.086
303	0.089
304	0.092
305	0.092
306	0.090
307	0.094
308	0.098
309	0.100
310	0.102
311	0.102
312	0.104
313	0.106
314	0.106
315	0.104
316	0.101
317	0.101
318	0.102
319	0.102
320	0.099
321	0.091
322	0.090
323	0.089
324	0.089
325	0.085
326	0.083
327	0.077
328	0.069
329	0.065
330	0.055
331	0.047
332	0.035
333	0.029
334	0.020
335	0.010
336	0.006
337	0.003
338	-0.002
339	-0.002
340	0.000
341	-0.003
342	-0.003
343	-0.003
344	-0.002
345	-0.004
346	-0.007
347	-0.011
348	-0.015
349	-0.020
350	-0.019


1HA2a
8/31/2023 1:51:45 PM
Wavelength (nm)	10mm Absorbance
220	4.188
221	3.946
222	3.720
223	3.528
224	3.360
225	3.204
226	3.086
227	3.021
228	2.982
229	2.955
230	2.947
231	2.945
232	2.954
233	2.979
234	3.031
235	3.112
236	3.223
237	3.357
238	3.518
239	3.732
240	3.933
241	4.095
242	4.256
243	4.456
244	4.685
245	4.879
246	5.052
247	5.242
248	5.435
249	5.608
250	5.748
251	5.886
252	6.079
253	6.253
254	6.398
255	6.508
256	6.593
257	6.656
258	6.678
259	6.673
260	6.653
261	6.616
262	6.566
263	6.487
264	6.374
265	6.216
