cryo_id,colony,pae_treatment,temp_treatment,tank,cryo_rep,pae_ugL,freeze_date,cull_notes,extraction_id,extr_date,qubit_rna_run_date,qubit_rna_1,qubit_rna_2,qubit_rna_3,qubit_rna_avg,qubit_dna_run_date,qubit_dna_1,qubit_dna_2,qubit_dna_3,qubit_dna_avg
1-Ea,1,environmental,kbay,na,a,na,8/5/2022,NA,4,5/4/2023,5/4/2023,52.6,52.8,52.8,52.733333333333334,5/4/2023,202,198,197,199
2-Ea,2,environmental,kbay,na,a,na,8/5/2022,NA,6,5/15/2023,5/17/2023,448,446,448,447.3333333333333,5/15/2023,248,238,234,240
3-Ea,3,environmental,kbay,na,a,na,8/5/2022,NA,1,4/21/2023,4/25/2023,0,0,0,0,5/4/2023,39,38.4,39,38.8
4-Ea,4,environmental,kbay,na,a,na,8/5/2022,NA,6,5/15/2023,5/17/2023,238,240,238,238.66666666666666,5/15/2023,222,198,196,205.33333333333334
1-CA2a,1,control,ambient,A2,a,0,8/17/2022,NA,3,5/2/2023,5/3/2023,97.2,96.4,96.8,96.8,5/3/2023,378,370,366,371.3333333333333
1-CH2a,1,control,hot,H2,a,0,8/17/2022,NA,3,5/2/2023,5/3/2023,37,36.8,37.4,37.06666666666666,5/3/2023,197,192,189,192.66666666666666
1-PA2a,1,peak,ambient,A2,a,150,8/17/2022,NA,5,5/12/2023,5/12/2023,768,756,756,760,5/12/2023,354,346,340,346.6666666666667
1-PH1a,1,peak,hot,H1,a,150,8/17/2022,NA,5,5/12/2023,5/12/2023,808,816,812,812,5/12/2023,438,434,432,434.6666666666667
2-CA2a,2,control,ambient,A2,a,0,8/17/2022,NA,6,5/15/2023,5/17/2023,318,320,318,318.6666666666667,5/15/2023,398,390,384,390.6666666666667
2-CH1a,2,control,hot,H1,a,0,8/17/2022,NA,2,5/1/2023,5/2/2023,21.4,20.8,20.2,20.8,5/3/2023,0,0,0,0
2-PA1a,2,peak,ambient,A1,a,150,8/17/2022,NA,4,5/4/2023,5/4/2023,154,157,149,153.33333333333334,5/4/2023,6.5,6.3,6.1,6.3
2-PH2a,2,peak,hot,H2,a,150,8/17/2022,NA,2,5/1/2023,5/2/2023,77.6,77,76.8,77.13333333333333,5/3/2023,59,58.6,58,58.53333333333333
3-CA1a,3,control,ambient,A1,a,0,8/17/2022,NA,1,4/21/2023,4/25/2023,12.4,14,12.4,12.933333333333334,5/4/2023,72.8,75,74.4,74.06666666666666
3-CH2a,3,control,hot,H2,a,0,8/17/2022,NA,5,5/12/2023,5/12/2023,1201,1201,1201,1201,5/12/2023,280,276,272,276
3-PA1a,3,peak,ambient,A1,a,150,8/17/2022,NA,3,5/2/2023,5/3/2023,102,102,103,102.33333333333333,5/3/2023,396,396,396,396
3-PH1a,3,peak,hot,H1,a,150,8/17/2022,NA,3,5/2/2023,5/3/2023,43.4,43,43.8,43.4,5/3/2023,3.3,3.2,3.2,3.2333333333333334
4-CA1a,4,control,ambient,A1,a,0,8/17/2022,NA,5,5/12/2023,5/12/2023,1201,1201,1201,1201,5/12/2023,290,284,288,287.3333333333333
4-CH1a,4,control,hot,H1,a,0,8/17/2022,NA,6,5/15/2023,5/17/2023,83.2,83,83.4,83.2,5/15/2023,318,310,306,311.3333333333333
4-PA2a,4,peak,ambient,A2,a,150,8/17/2022,NA,5,5/12/2023,5/12/2023,738,726,720,728,5/12/2023,584,580,568,577.3333333333334
4-PH1a,4,peak,hot,H1,a,150,8/17/2022,NA,5,5/12/2023,5/12/2023,45.4,43.2,42.4,43.666666666666664,5/12/2023,17,16.2,16,16.4
