cryo_id,colony,pae_treatment,temp_treatment,tank,cryo_rep,pae_ugL,freeze_date,cull_notes,extraction_id,extr_date,qubit_rna_run_date,qubit_rna_1,qubit_rna_2,qubit_rna_3,qubit_dna_run_date,qubit_dna_1,qubit_dna_2,qubit_dna_3
1-Ea,1,environmental,kbay,na,a,na,8/5/2022,,4,5/4/2023,5/4/2023,52.6,52.8,52.8,5/4/2023,202,198,197
1-Eb,1,environmental,kbay,na,b,na,8/5/2022,,,,,,,,,,,
2-Ea,2,environmental,kbay,na,a,na,8/5/2022,,6,5/15/2023,5/17/2023,448,446,448,5/15/2023,248,238,234
2-Eb,2,environmental,kbay,na,b,na,8/5/2022,,,,,,,,,,,
3-Ea,3,environmental,kbay,na,a,na,8/5/2022,,1,4/21/2023,4/25/2023,0,0,0,5/4/2023,39,38.4,39
3-Eb,3,environmental,kbay,na,b,na,8/5/2022,,,,,,,,,,,
4-Ea,4,environmental,kbay,na,a,na,8/5/2022,,6,5/15/2023,5/17/2023,238,240,238,5/15/2023,222,198,196
4-Eb,4,environmental,kbay,na,b,na,8/5/2022,,,,,,,,,,,
5-Ea,5,environmental,kbay,na,a,na,8/5/2022,,,,,,,,,,,
5-Eb,5,environmental,kbay,na,b,na,8/5/2022,,,,,,,,,,,
6-Ea,6,environmental,kbay,na,a,na,8/5/2022,,,,,,,,,,,
6-Eb,6,environmental,kbay,na,b,na,8/5/2022,,,,,,,,,,,
7-Ea,7,environmental,kbay,na,a,na,8/5/2022,,,,,,,,,,,
7-Eb,7,environmental,kbay,na,b,na,8/5/2022,,,,,,,,,,,
8-Ea,8,environmental,kbay,na,a,na,8/5/2022,,,,,,,,,,,
8-Eb,8,environmental,kbay,na,b,na,8/5/2022,,,,,,,,,,,
9-Ea,9,environmental,kbay,na,a,na,8/5/2022,,,,,,,,,,,
9-Eb,9,environmental,kbay,na,b,na,8/5/2022,,,,,,,,,,,
10-Ea,10,environmental,kbay,na,a,na,8/5/2022,,,,,,,,,,,
10-Eb,10,environmental,kbay,na,b,na,8/5/2022,,,,,,,,,,,
1-Ab,1,acclimation,blue-tank,na,b,na,8/15/2022,,,,,,,,,,,
1-Aa,1,acclimation,blue-tank,na,a,na,8/15/2022,,,,,,,,,,,
2-Aa,2,acclimation,blue-tank,na,a,na,8/15/2022,,,,,,,,,,,
2-Ab,2,acclimation,blue-tank,na,b,na,8/15/2022,,,,,,,,,,,
3-Aa,3,acclimation,blue-tank,na,a,na,8/15/2022,,,,,,,,,,,
3-Ab,3,acclimation,blue-tank,na,b,na,8/15/2022,,,,,,,,,,,
4-Aa,4,acclimation,blue-tank,na,a,na,8/15/2022,,,,,,,,,,,
4-Ab,4,acclimation,blue-tank,na,b,na,8/15/2022,,,,,,,,,,,
5-Aa,5,acclimation,blue-tank,na,a,na,8/15/2022,,,,,,,,,,,
5-Ab,5,acclimation,blue-tank,na,b,na,8/15/2022,,,,,,,,,,,
6-Aa,6,acclimation,blue-tank,na,a,na,8/15/2022,,,,,,,,,,,
6-Ab,6,acclimation,blue-tank,na,b,na,8/15/2022,,,,,,,,,,,
7-Aa,7,acclimation,blue-tank,na,a,na,8/15/2022,,,,,,,,,,,
7-Ab,7,acclimation,blue-tank,na,b,na,8/15/2022,,,,,,,,,,,
8-Aa,8,acclimation,blue-tank,na,a,na,8/15/2022,,,,,,,,,,,
8-Ab,8,acclimation,blue-tank,na,b,na,8/15/2022,,,,,,,,,,,
9-Aa,9,acclimation,blue-tank,na,a,na,8/15/2022,,,,,,,,,,,
9-Ab,9,acclimation,blue-tank,na,b,na,8/15/2022,,,,,,,,,,,
10-Aa,10,acclimation,blue-tank,na,a,na,8/15/2022,,,,,,,,,,,
10-Ab,10,acclimation,blue-tank,na,b,na,8/15/2022,,,,,,,,,,,
1-CA2a,1,control,ambient,A2,a,0,8/17/2022,,3,5/2/2023,5/3/2023,97.2,96.4,96.8,5/3/2023,378,370,366
1-CA2b,1,control,ambient,A2,b,0,8/17/2022,,,,,,,,,,,
1-CH2a,1,control,hot,H2,a,0,8/17/2022,,3,5/2/2023,5/3/2023,37,36.8,37.4,5/3/2023,197,192,189
1-CH2b,1,control,hot,H2,b,0,8/17/2022,,,,,,,,,,,
1-LA2a,1,low,ambient,A2,a,0.5,8/17/2022,,,,,,,,,,,
1-LA2b,1,low,ambient,A2,b,0.5,8/17/2022,,,,,,,,,,,
1-LH2a,1,low,hot,H2,a,0.5,8/17/2022,,,,,,,,,,,
