"Run ID","Assay Name","Test Name","Test Date","Qubit tube conc.","Qubit tube conc. units","Original sample conc.","Original sample conc. units","Sample Volume (uL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090646","07/09/2023 09:06:46 AM","0.109","ug/mL","21.8","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"1080.53"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090634","07/09/2023 09:06:34 AM","0.148","ug/mL","29.6","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"1250.51"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090622","07/09/2023 09:06:22 AM","Out of range","ug/mL","Out of range","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"791.33"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090610","07/09/2023 09:06:10 AM","0.125","ug/mL","25.0","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"1151.57"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090558","07/09/2023 09:05:58 AM","0.055","ug/mL","11.0","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"855.98"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090548","07/09/2023 09:05:48 AM","0.052","ug/mL","10.4","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"845.81"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090538","07/09/2023 09:05:38 AM","0.083","ug/mL","16.6","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"968.65"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090528","07/09/2023 09:05:28 AM","0.055","ug/mL","11.0","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"855.09"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090517","07/09/2023 09:05:17 AM","0.151","ug/mL","30.2","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"1263.28"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090502","07/09/2023 09:05:02 AM","0.062","ug/mL","12.4","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"885.13"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090449","07/09/2023 09:04:49 AM","0.063","ug/mL","12.6","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"889.56"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090416","07/09/2023 09:04:16 AM","0.066","ug/mL","13.2","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"901.89"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090401","07/09/2023 09:04:01 AM","0.050","ug/mL","10.0","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"834.71"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090349","07/09/2023 09:03:49 AM","0.065","ug/mL","13.0","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"895.40"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090338","07/09/2023 09:03:38 AM","0.155","ug/mL","31.0","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"1279.75"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090328","07/09/2023 09:03:28 AM","0.069","ug/mL","13.8","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"912.62"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090317","07/09/2023 09:03:17 AM","0.058","ug/mL","11.6","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"866.74"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090257","07/09/2023 09:02:57 AM","0.054","ug/mL","10.8","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"851.74"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090247","07/09/2023 09:02:47 AM","0.084","ug/mL","16.8","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"974.61"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090236","07/09/2023 09:02:36 AM","0.060","ug/mL","12.0","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"876.80"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090225","07/09/2023 09:02:25 AM","0.113","ug/mL","22.6","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"1098.00"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090214","07/09/2023 09:02:14 AM","0.150","ug/mL","30.0","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"1259.57"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090159","07/09/2023 09:01:59 AM","Out of range","ug/mL","Out of range","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"802.64"
"2023-09-07_085956","RNA Broad Range","Sample_#230907-090137","07/09/2023 09:01:37 AM","0.129","ug/mL","25.8","ng/uL","1","200","654.72","22901.80",,"Red","Far Red",,"1166.08"
